id,site_code,year,month,day,gpp,npp,nep,ra,rh,cf,cw,cr,cveg,csom,af,aw,ar,tveg,tsoil,swc,create_time
185123,DHF,2023,7,4,1.1346825784242844,0.4212497853199578,0.23595095127943772,0.7134327931043266,0.1852988340405201,279.98311982298793,8825.44178720427,323.76502152557777,9429.189928552836,7945.936361867568,0.21062295407491557,0.10531831826901385,0.1053085129760284,155.1535356352746,212.60963730949737,,28/7/2023 01:01:29
185124,DHF,2023,7,5,1.254668139196023,0.46579430612046135,0.2806374336736645,0.7888738330755617,0.18515687244679685,280.09157140892165,8825.538280080751,323.8148246997638,9429.444676189438,7945.94397551024,0.23289500948196468,0.11645506938983594,0.11644422724866074,155.112814459485,212.76999250000534,,28/7/2023 01:01:29
185125,DHF,2023,7,6,1.105332877848509,0.41035373800078606,0.22925310486123326,0.694979139847723,0.1811006331395528,280.22225547413757,8825.645909611861,323.87575505011034,9429.74392013611,7945.951587125587,0.205174980558773,0.10259415455564073,0.10258460288637232,155.0635113681584,217.53285929959748,,28/7/2023 01:01:29
185126,DHF,2023,7,7,1.1261452327076615,0.418080304163982,0.23630177862970142,0.7080649285436795,0.1817785255342806,280.3251718212348,8825.739678120508,323.9228153303716,9429.987665272114,7945.959222477669,0.2090382280828316,0.10452590379958165,0.10451617228156876,155.02498025747076,216.71938447693478,,28/7/2023 01:01:29
185127,DHF,2023,7,8,1.1606027219284363,0.43087261296727136,0.2403251088011808,0.729730108961165,0.19054750416609056,280.4319138596491,8825.83537828463,323.9717991121497,9430.23909125643,7945.966850941564,0.21543432361446702,0.10772415931659521,0.10771413003620914,154.98499017556392,206.74377134527253,,28/7/2023 01:01:29
185128,DHF,2023,7,9,1.1696278217150613,0.43422317233946744,0.24867831655051653,0.7354046493755938,0.1855448557889509,280.5450130413179,8825.934276608567,324.02397245404455,9430.503262103928,7945.974419024379,0.21710958788134216,0.10856184586419106,0.10855173859393423,154.94256559679175,212.31481049336375,,28/7/2023 01:01:29
185129,DHF,2023,7,10,1.0917230139540715,0.40530108948676125,0.22191027354984164,0.6864219244673102,0.1833908159369196,280.6597462151292,8826.034012520153,324.0769744600503,9430.770733195333,7945.9820166078935,0.20264867955397148,0.10133092199660858,0.10132148793618119,154.8995343886093,214.8059023546843,,28/7/2023 01:01:29
185130,DHF,2023,7,11,1.0949572139758357,0.4065017830470184,0.21887447883093794,0.6884554309288172,0.18762730421608045,280.7599766122129,8826.126517408136,324.12273712888765,9431.009231149237,7945.989625530353,0.20324902080852666,0.10163111212353451,0.10162165011495722,154.86212436216348,209.95335015051077,,28/7/2023 01:01:29
185131,DHF,2023,7,12,1.0673589521349747,0.39625595562644467,0.21142807286875,0.67110299650853,0.18482788275769466,280.86077077450034,8826.219322393743,324.1687921144843,9431.248885282726,7945.997203586674,0.19812615424938076,0.09906951244843966,0.09906028892862424,154.82451565007565,213.13046005463312,,28/7/2023 01:01:29
185132,DHF,2023,7,13,1.1241991598942866,0.4173578265562007,0.2266405847480221,0.706841333338086,0.1907172418081786,280.9564052884489,8826.30956568687,324.21227784336105,9431.47824881868,7946.004797092781,0.20867699260377193,0.10434527432678375,0.104335559625645,154.7889148507747,206.54649163654292,,28/7/2023 01:01:29
185133,DHF,2023,7,14,1.106274526794002,0.4107033242407429,0.21551352927401687,0.695571202553259,0.19518979496672603,281.06255574182956,8826.405084651631,324.26103138786726,9431.728671781328,7946.012348367309,0.20534977206996075,0.10268155598862737,0.10267199618215479,154.74927938645715,201.8107041367406,,28/7/2023 01:01:29
185134,DHF,2023,7,15,1.013230569453286,0.37616084707543296,0.1907484493866036,0.637069722377853,0.18541239768882936,281.1653402382802,8826.498939802535,324.30811301076335,9431.97239305158,7946.019866037946,0.18807869245125688,0.0940454551983728,0.09403669942580327,154.7109611419861,212.44921012713232,,28/7/2023 01:01:29
185135,DHF,2023,7,16,1.0588283499564388,0.393088978002316,0.2099826107464191,0.6657393719541228,0.1831063672558969,281.2508161470201,8826.584158758795,324.34655126536586,9432.18152617118,7946.027445259369,0.19654268001169906,0.09827772389686687,0.09826857409375009,154.67932420946414,215.1221448869486,,28/7/2023 01:01:29
